speaker_name,title,posted_date,duration,Link,about_speaker,about_talk,views,tags
Jad Abumrad,How Dolly Parton led me to an epiphany,Jun 2020,13:11,https://www.ted.com/talks/jad_abumrad_how_dolly_parton_led_me_to_an_epiphany?language=en,"As a producer, the creator and host of the popular syndicated radio program ""Radiolab"" (among many other shows and podcasts), Jad Abumrad tells true stories that help people find beauty in a chaotic world.","How do you end a story? Host of ""Radiolab"" Jad Abumrad tells how his search for an answer led him home to the mountains of Tennessee, where he met an unexpected teacher: Dolly Parton.","776,143","storytelling,media,arts"
Al Gore,The new urgency of climate change,Jun 2020,56:45,https://www.ted.com/talks/al_gore_the_new_urgency_of_climate_change?language=en,Nobel Laureate Al Gore focused the world's attention on the global climate crisis.,"The coronavirus brought much of the world to a standstill, dropping carbon emissions by five percent. Al Gore says keeping those rates down is now up to us. In this illuminating interview, he discusses how the steadily declining cost of wind and solar energy will transform manufacturing, transportation and agriculture, offer a cheaper alternative to fossil fuels and nuclear energy and create millions of new jobs. Stay tuned for a lively debate about geoengineering and hear Gore's thoughts about how humanity can create a clean, prosperous future through a focused global effort and a generation of young people committed to change. (This virtual conversation, hosted by head of TED Chris Anderson, was recorded June 23, 2020.)","889,485","environment,climate change,global issues"
Rebekah Bergman,First person vs. Second person vs. Third person,Jun 2020,5:00,https://www.ted.com/talks/rebekah_bergman_first_person_vs_second_person_vs_third_person?language=en,,"Who is telling a story, and from what perspective, are some of the most important choices an author makes. Told from a different point of view, a story can transform completely. Third person, first person, and second person perspectives each have unique possibilities and constraints. So how do you choose a point of view for your story? Rebekah Bergman explores the different ways to focus a story. [Directed by Gibbons Studio, narrated by Susan Zimmerman, music by Fred Roux].","282,975","TED-Ed,animation,writing"
Swizz Beatz,How to support and celebrate living artists,Jun 2020,8:06,https://www.ted.com/talks/swizz_beatz_how_to_support_and_celebrate_living_artists?language=en,"Swizz Beatz is an American hip-hop artist, DJ, producer and entrepreneur.","Legendary hip-hop producer Swizz Beatz is on a mission to revolutionize the way artists do business. In this glorious talk, he shares some of the ways he's helping fellow creatives thrive, including a roving art fair that gives artists 100 percent of their sales, a new commission system for galleries to fund living visual artists and Verzuz, online musical celebrations that bring joy to fans -- and sales to musicians. ""If we're not protecting the arts, we're not protecting our future,"" he says.","725,498","business,arts,music"
Alex Rosenthal,"The Factory | Think Like A Coder, Ep 9",Jun 2020,9:45,https://www.ted.com/talks/alex_rosenthal_the_factory_think_like_a_coder_ep_9?language=en,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.,"This is episode 9 of our animated series ""Think Like A Coder."" This 10-episode narrative follows a girl, Ethic, and her robot companion, Hedge, as they attempt to save the world. The two embark on a quest to collect three artifacts and must solve their way through a series of programming puzzles. [Directed by Kozmonot Animation Studio, narrated by Addison Anderson].","139,633","education,TED-Ed,animation"
Farish Ahmad-Noor,Why is colonialism (still) romanticized?,Jun 2020,12:18,https://www.ted.com/talks/farish_ahmad_noor_why_is_colonialism_still_romanticized?language=en,Farish Ahmad-Noor believes that we can never truly escape history but we need not be victims of it either.,"Colonialism remains an inescapable blight on the present, lingering in the toxic, internalized mythologies and stereotypes that have outlived the regimes that created them, says historian Farish Ahmad-Noor. Examining why these prejudices and narratives persist (and sometimes thrive), he suggests a multidisciplinary approach to reject cultural obsessions with romanticized history and prevent this nostalgia from perpetuating past oppressions.","817,886","global issues,history,philosophy"
Constantine N. Vaporis,A day in the life of a teenage samurai,Jun 2020,5:06,https://www.ted.com/talks/constantine_n_vaporis_a_day_in_the_life_of_a_teenage_samurai?language=en,,"The year is 1800 in the castle town of Kôchi, Japan. It's just after sunrise, and 16-year-old Mori Banshirô is already hard at work practicing drills with his long sword. He is an ambitious samurai in training, and today he must impress his teachers more than ever so he can travel to the capital city for martial and scholarly studies. Constantine N. Vaporis outlines a day in the life of a samurai. [Directed by WOW-HOW Studio, narrated by Adrian Dannatt, music by Stephen LaRosa].","561,932","animation,TED-Ed,education"
Audrey Tang,How digital innovation can fight pandemics and strengthen democracy,Jun 2020,49:05,https://www.ted.com/talks/audrey_tang_how_digital_innovation_can_fight_pandemics_and_strengthen_democracy?language=en,Audrey Tang is Taiwan's digital minister in charge of social innovation.,"Can technology create a democracy that's fast, fair ... and even fun? Digital minister Audrey Tang shares how Taiwan avoided a COVID-19 shutdown in early 2020 through innovations like developing apps to map mask availability, crowdsourcing ideas that could become laws and creating a ""humor over rumor"" campaign to combat disinformation with comedy. (This virtual conversation, hosted by TED science curator David Biello and current affairs curator Whitney Pennington Rodgers, was recorded June 1, 2020.)","146,943","government,technology,democracy"
Hari Nef,The aesthetics of survival,Jun 2020,12:28,https://www.ted.com/talks/hari_nef_the_aesthetics_of_survival?language=en,,"Trans actress, model and writer Hari Nef scrutinizes the concept of passing as a transgender woman and using feminization as a survival tactic. ""Hair, makeup and nails keep us strong and safe; does that make us sellouts? Or survivors?"" In her talk, Nef boldly investigates trans femininity, asking the question: Why are we shamed for being femme?","90,530","LGBT,social change,Transgender"
Panti Bliss,The necessity of normalizing queer love,Jun 2020,19:15,https://www.ted.com/talks/panti_bliss_the_necessity_of_normalizing_queer_love?language=en,"Panti Bliss, also known as Rory O'Neill, is a drag queen and gay rights activist.",The public displays of affection that straight couples take for granted every day can be outright dangerous for queer couples to practice -- what do you do when simply holding hands with a loved one can be considered a political act? Irish activist Panti Bliss shares what it's like to navigate such a world and highlights the importance of normalizing queer love in public spaces.,"490,119","LGBT,love,social change"
Lynne Elvins,The myths of gay adoption,Jun 2020,16:36,https://www.ted.com/talks/lynne_elvins_the_myths_of_gay_adoption?language=en,"“Women can do ‘dad’ things in exactly the same way that men can do ‘mum’ things.”

In this thought-provoking and very personal talk, gay parent Lynne Elvins explores what ‘family’ means in the 21st Century. She describes how we can all re-connect and be part of wider families, providing caring, kind and inspirational role models for the next generations, regardless of our sex or whether we share the same DNA or not.

Lynne Elvins is a design strategist and runs her own consultancy business. Lynne and her partner Emma, became the first gay couple to be approved for adoption in Bristol, UK.
",Lynne Elvins candidly shares the experience of adopting a son with her partner Emma -- and what it can teach us about authenticity and advocacy. ,"498,179","life,family,LGBT"
Thomas Lloyd,"Why am I ""so gay?""",Jun 2020,22:33,https://www.ted.com/talks/thomas_lloyd_why_am_i_so_gay?language=en,Thomas Lloyd is a graduate of Georgetown University.,"Ever since middle school, people have asked Thomas Lloyd the same question repeatedly. ""If I had a dime for every time I was asked, 'Why am I so gay?' I could probably pay for one credit at Georgetown."" In this humorous talk, Lloyd explores the intricacies of social ""covering"" as a gay man, finding community and the importance of identity ownership.","3,247,369","LGBT,gay,community"
Chrystina Russell,A path to higher education and employment for refugees,Jun 2020,5:44,https://www.ted.com/talks/chrystina_russell_a_path_to_higher_education_and_employment_for_refugees?language=en,Chrystina Russell heads initiatives that offer university education and employment to refugees and traditionally underserved learners.,"Out of the more than 70 million displaced people worldwide, only three percent have access to higher education. The Global Education Movement (GEM) is on a mission to change that with the first large-scale initiative of its kind to help refugee learners get bachelor's degrees and create pathways toward employment. Hear from students and the program's executive director, Chrystina Russell, about how GEM's flexible, competency-based model sets graduates up for success and empowerment wherever they are.","185,808","Audacious Project,education,teaching"
Jennifer L. Eberhardt,How racial bias works — and how to disrupt it,Jun 2020,14:17,https://www.ted.com/talks/jennifer_l_eberhardt_how_racial_bias_works_and_how_to_disrupt_it?language=en,"A social psychologist at Stanford University, Jennifer L. Eberhardt conducts research on race and inequality.","Our brains create categories to make sense of the world, recognize patterns and make quick decisions. But this ability to categorize also exacts a heavy toll in the form of unconscious bias. In this powerful talk, psychologist Jennifer L. Eberhardt explores how our biases unfairly target Black people at all levels of society -- from schools and social media to policing and criminal justice -- and discusses how creating points of friction can help us actively interrupt and address this troubling problem.","1,115,890","activism,race,inequality"
Krishna Sudhir,What yoga does to your body and brain,Jun 2020,5:36,https://www.ted.com/talks/krishna_sudhir_what_yoga_does_to_your_body_and_brain?language=en,,"There are many different approaches to modern yoga— though most forms have three core elements: physical postures, breathing exercises, and spiritual contemplation.This blend of physical and mental exercise is widely believed to have a unique set of health advantages. But is yoga actually beneficial to your health? Krishna Sudhir examines how this ancient tradition impacts the body and mind. [Directed by Zsuzsanna Kreif, narrated by Addison Anderson, music by Cem Misirlioglu / WORKPLAYWORK].","412,939","TED-Ed,animation,exercise"
Ofer Levy,The new science of personalized vaccines,Jun 2020,11:44,https://www.ted.com/talks/ofer_levy_the_new_science_of_personalized_vaccines?language=en,"Ofer Levy uses new technologies and the principles of precision medicine to develop tailored vaccines to protect the vulnerable, such as the young and the elderly, from infection.","At the intersection of precision medicine and vaccinology lies a revolutionary scientific pursuit: personalized vaccines. Infectious disease specialist Ofer Levy introduces this promising medical approach, in which tailored inoculations will enable effective immunization of the most vulnerable among us, including the young and elderly, and shares how we're now venturing into a new era of sustaining and supporting human life. (This talk contains graphic medical imagery.)","155,093","medicine,science,public health"
Katherine Eban,A dose of reality about generic drugs,Jun 2020,16:39,https://www.ted.com/talks/katherine_eban_a_dose_of_reality_about_generic_drugs?language=en,"Katherine Eban's articles on pharmaceutical counterfeiting, gun trafficking and coercive interrogations by the CIA have won international attention.","Investigative journalist Katherine Eban set out to report on a seemingly straightforward question: Are generic drugs really identical to their brand-name counterparts? The answer sparked a decade of interviews, meetings with whistleblowers, on-the-ground reporting across four continents and digging into confidential FDA documents. In this alarming talk, she takes us inside overseas manufacturing plants and exposes the fraud behind many low-cost generic medicines.","139,309","journalism,pharmaceuticals,public health"
Anees Bahji,Can steroids save your life?,Jun 2020,5:11,https://www.ted.com/talks/anees_bahji_can_steroids_save_your_life?language=en,,"Steroids: they're infamous for their use in sports. But they're also found in inhalers, creams to treat poison ivy and eczema, and shots to ease inflammation. The steroids in these medicines aren't the same as those used to build muscle. In fact, they're all based on yet another steroid— one our body produces naturally, and we can't live without. Anees Bahji explores the science of corticosteroids. [Directed by Nick Hilditch, narrated by Addison Anderson, music by Audionetwork].","229,375","education,TED-Ed,innovation"
Russell Wilson,My secret to staying focused under pressure,Jun 2020,6:11,https://www.ted.com/talks/russell_wilson_my_secret_to_staying_focused_under_pressure?language=en,"An elite NFL quarterback, entrepreneur and community leader, Russell Wilson is dedicated to excellence.","Athletes train their bodies to run faster, jump higher, throw farther -- so why don't they train their minds, too? Seattle Seahawks quarterback Russell Wilson talks about the power of ""neutral thinking,"" which helps him thrive under pressure (both on the field and off) -- and shows how you can use this mindset to make the right moves in your own life.","1,173,681","sports,personal growth,motivation"
Dan Kwartler,How fast can a vaccine be made?,Jun 2020,5:32,https://www.ted.com/talks/dan_kwartler_how_fast_can_a_vaccine_be_made?language=en,,"When a new pathogen emerges, our bodies and healthcare systems are left vulnerable. And when this pathogen causes the outbreak of a pandemic, there's an urgent need for a vaccine to create widespread immunity with minimal loss of life. So how quickly can we develop vaccines when we need them most? Dan Kwartler describes the three phases of vaccine development. [Directed by Good Bad Habits, narrated by Jack Cutmore-Scott, music by Landon Trimble / Playdate Audio].","786,841","education,TED-Ed,animation"
Lucy Hone,3 secrets of resilient people,Jun 2020,16:05,https://www.ted.com/talks/lucy_hone_3_secrets_of_resilient_people?language=en,"Dr. Lucy Hone builds resilience among individuals, communities and organizations.","Everyone experiences loss, but how do you cope with the tough moments that follow? Resilience researcher Lucy Hone shares three hard-won strategies for developing the capacity to brave adversity, overcome struggle and face whatever may come head-on with fortitude and grace.","1,363,266","personal growth,mind,psychology"
Shantell Martin,How drawing can set you free,Jun 2020,7:47,https://www.ted.com/talks/shantell_martin_how_drawing_can_set_you_free?language=en,"Shantell Martin forges new connections between fine art, education, philosophy and technology to establish an environment that values artists as integral contributors to a healthy society.","Who are you? To answer this question, artist Shantell Martin followed her pen. In this brilliantly visual talk featuring her signature freestyle line work -- drawn across everything from the screens of Times Square to the bodies of New York City Ballet dancers -- Martin shares how she found freedom and a new perspective through art. See how drawing can connect your hand to your heart and deepen your connection with the world.","872,543","self,art,identity"
Veronica Barassi,What tech companies know about your kids,Jun 2020,11:01,https://www.ted.com/talks/veronica_barassi_what_tech_companies_know_about_your_kids?language=en,Veronica Barassi campaigns and writes about the impact of data technologies and artificial intelligence on human rights and democracy.,"The digital platforms you and your family use every day -- from online games to education apps and medical portals -- may be collecting and selling your children's data, says anthropologist Veronica Barassi. Sharing her eye-opening research, Barassi urges parents to look twice at digital terms and conditions instead of blindly accepting them -- and to demand protections that ensure their kids' data doesn't skew their future.","873,694","children,future,privacy"
Alex Gendler,Which voting system is the best?,Jun 2020,5:08,https://www.ted.com/talks/alex_gendler_which_voting_system_is_the_best?language=en,,"Imagine we want to build a new space port at one of four recently settled Martian bases, and are holding a vote to choose its location. Of the 100 colonists on Mars, 42 live on West Base, 26 on North Base, 15 on South Base, and 17 on East Base. Assuming that everyone wants the port to be closest to their home base, what is the fairest way to conduct the vote? Alex Gendler digs into voting systems. [Directed by Biljana Labovic, narrated by Addison Anderson].","399,106","education,democracy,animation"
